date,state,district,pincode,age_5_17_count,age_17_plus_count,state_clean,state_final,total_updates,day,month,year,district_clean
2025-03-01,gujarat,porbandar,362620,10,64,gujarat,gujarat,74,1,3,2025,porbandar
2025-03-01,chandigarh,chandigarh,160103,12,78,chandigarh,punjab,90,1,3,2025,chandigarh
2025-03-01,west bengal,paschim bardhaman,713213,10,201,westbengal,westbengal,211,1,3,2025,paschim bardhaman
2025-03-01,gujarat,devbhumi dwarka,360510,12,159,gujarat,gujarat,171,1,3,2025,devbhumi dwarka
2025-03-01,telangana,nalgonda,508105,29,78,telangana,telangana,107,1,3,2025,nalgonda
2025-03-01,gujarat,devbhumi dwarka,361310,13,173,gujarat,gujarat,186,1,3,2025,devbhumi dwarka
2025-03-01,arunachal pradesh,tawang,790106,14,64,arunachalpradesh,arunachalpradesh,78,1,3,2025,tawang
2025-03-01,bihar,muzaffarpur,843103,170,1804,bihar,bihar,1974,1,3,2025,muzaffarpur
2025-03-01,odisha,ganjam,761012,54,422,odisha,odisha,476,1,3,2025,ganjam
2025-03-01,uttar pradesh,gorakhpur,273016,193,1122,uttarpradesh,uttarpradesh,1315,1,3,2025,gorakhpur
2025-03-01,chhattisgarh,kawardha,491888,13,375,chhattisgarh,chhattisgarh,388,1,3,2025,kawardha
2025-03-01,andhra pradesh,east godavari,533429,32,474,andhrapradesh,andhrapradesh,506,1,3,2025,east godavari
2025-03-01,jharkhand,dhanbad,828203,35,1200,jharkhand,jharkhand,1235,1,3,2025,dhanbad
2025-03-01,gujarat,gandhinagar,382855,31,215,gujarat,gujarat,246,1,3,2025,gandhinagar
2025-03-01,west bengal,puruliya,723151,34,490,westbengal,westbengal,524,1,3,2025,puruliya
2025-03-01,uttar pradesh,siddharthnagar,272202,80,1205,uttarpradesh,uttarpradesh,1285,1,3,2025,siddharthnagar
2025-03-01,uttar pradesh,bara banki,225201,31,680,uttarpradesh,uttarpradesh,711,1,3,2025,bara banki
2025-03-01,bihar,saran,841418,77,739,bihar,bihar,816,1,3,2025,saran
2025-03-01,uttar pradesh,hardoi,241305,43,541,uttarpradesh,uttarpradesh,584,1,3,2025,hardoi
2025-03-01,west bengal,south 24 parganas,743337,90,1822,westbengal,westbengal,1912,1,3,2025,south parganas
2025-03-01,uttar pradesh,ambedkar nagar,224157,24,258,uttarpradesh,uttarpradesh,282,1,3,2025,ambedkar nagar
2025-03-01,tamil nadu,tiruchirappalli,620102,51,556,tamilnadu,tamilnadu,607,1,3,2025,tiruchirappalli
2025-03-01,madhya pradesh,indore,452020,110,858,madhyapradesh,madhyapradesh,968,1,3,2025,indore
2025-03-01,tamil nadu,tiruvannamalai,606753,17,533,tamilnadu,tamilnadu,550,1,3,2025,tiruvannamalai
2025-03-01,kerala,kasaragod,671310,20,239,kerala,kerala,259,1,3,2025,kasaragod
2025-03-01,maharashtra,mumbai,400097,28,675,maharashtra,maharashtra,703,1,3,2025,mumbai
2025-03-01,karnataka,mysuru,570016,39,235,karnataka,karnataka,274,1,3,2025,mysuru
2025-03-01,bihar,gopalganj,841243,17,145,bihar,bihar,162,1,3,2025,gopalganj
2025-03-01,west bengal,hooghly,712406,43,664,westbengal,westbengal,707,1,3,2025,hooghly
2025-03-01,rajasthan,jaipur,303702,50,412,rajasthan,rajasthan,462,1,3,2025,jaipur
2025-03-01,gujarat,surendra nagar,363427,31,272,gujarat,gujarat,303,1,3,2025,surendra nagar
2025-03-01,andhra pradesh,annamayya,517297,18,105,andhrapradesh,andhrapradesh,123,1,3,2025,annamayya
2025-03-01,tamil nadu,dindigul,624710,28,461,tamilnadu,tamilnadu,489,1,3,2025,dindigul
2025-03-01,telangana,narayanpet,509130,22,120,telangana,telangana,142,1,3,2025,narayanpet
2025-03-01,tamil nadu,tenkasi,627859,11,48,tamilnadu,tamilnadu,59,1,3,2025,tenkasi
2025-03-01,andhra pradesh,hyderabad,500003,22,209,andhrapradesh,telangana,231,1,3,2025,hyderabad
2025-03-01,gujarat,mahesana,384212,27,151,gujarat,gujarat,178,1,3,2025,mahesana
2025-03-01,tamil nadu,dindigul,624004,20,136,tamilnadu,tamilnadu,156,1,3,2025,dindigul
2025-03-01,chandigarh,chandigarh,160003,31,149,chandigarh,chandigarh,180,1,3,2025,chandigarh
2025-03-01,delhi,north east delhi,110094,1013,7227,delhi,delhi,8240,1,3,2025,north east delhi
2025-03-01,punjab,firozpur,152022,14,325,punjab,punjab,339,1,3,2025,firozpur
2025-03-01,bihar,araria,854311,420,3989,bihar,bihar,4409,1,3,2025,araria
2025-03-01,uttar pradesh,auraiya,206244,127,1418,uttarpradesh,uttarpradesh,1545,1,3,2025,auraiya
2025-03-01,tamil nadu,krishnagiri,635121,41,490,tamilnadu,tamilnadu,531,1,3,2025,krishnagiri
2025-03-01,madhya pradesh,betul,460110,140,753,madhyapradesh,madhyapradesh,893,1,3,2025,betul
2025-03-01,madhya pradesh,satna,485001,227,1621,madhyapradesh,madhyapradesh,1848,1,3,2025,satna
2025-03-01,madhya pradesh,indore,452010,275,1991,madhyapradesh,madhyapradesh,2266,1,3,2025,indore
2025-03-01,telangana,sangareddy,502319,132,673,telangana,telangana,805,1,3,2025,sangareddy
2025-03-01,gujarat,dahod,389152,53,317,gujarat,gujarat,370,1,3,2025,dahod
2025-03-01,odisha,koraput,764056,93,779,odisha,odisha,872,1,3,2025,koraput
2025-03-01,uttar pradesh,prayagraj,211013,38,300,uttarpradesh,uttarpradesh,338,1,3,2025,prayagraj
2025-03-01,andhra pradesh,kurnool,518001,108,790,andhrapradesh,andhrapradesh,898,1,3,2025,kurnool
2025-03-01,bihar,katihar,854114,103,1259,bihar,bihar,1362,1,3,2025,katihar
2025-03-01,karnataka,hassan,573213,41,148,karnataka,karnataka,189,1,3,2025,hassan
2025-03-01,andhra pradesh,anakapalli,531035,12,104,andhrapradesh,andhrapradesh,116,1,3,2025,anakapalli
2025-03-01,uttar pradesh,pratapgarh,230141,87,947,uttarpradesh,uttarpradesh,1034,1,3,2025,pratapgarh
2025-03-01,tamil nadu,kallakurichi,606201,78,510,tamilnadu,tamilnadu,588,1,3,2025,kallakurichi
2025-03-01,madhya pradesh,tikamgarh,472331,52,648,madhyapradesh,madhyapradesh,700,1,3,2025,tikamgarh
2025-03-01,bihar,bhojpur,802159,26,293,bihar,bihar,319,1,3,2025,bhojpur
2025-03-01,jammu and kashmir,jammu,181123,14,94,jammuandkashmir,jammuandkashmir,108,1,3,2025,jammu
2025-03-01,madhya pradesh,khargone,450551,12,90,madhyapradesh,madhyapradesh,102,1,3,2025,khargone
2025-03-01,mizoram,aizawl,796036,11,118,mizoram,mizoram,129,1,3,2025,aizawl
2025-03-01,rajasthan,dholpur,328041,69,1423,rajasthan,rajasthan,1492,1,3,2025,dholpur
2025-03-01,gujarat,kheda,387001,101,845,gujarat,gujarat,946,1,3,2025,kheda
2025-03-01,bihar,madhubani,847234,63,1029,bihar,bihar,1092,1,3,2025,madhubani
2025-03-01,bihar,nawada,805106,119,1136,bihar,bihar,1255,1,3,2025,nawada
2025-03-01,tamil nadu,chennai,600011,53,889,tamilnadu,tamilnadu,942,1,3,2025,chennai
2025-03-01,maharashtra,solapur,413214,22,331,maharashtra,maharashtra,353,1,3,2025,solapur
2025-03-01,odisha,mayurbhanj,757053,42,407,odisha,odisha,449,1,3,2025,mayurbhanj
2025-03-01,madhya pradesh,rewa,486341,34,323,madhyapradesh,madhyapradesh,357,1,3,2025,rewa
2025-03-01,odisha,sambalpur,768005,42,588,odisha,odisha,630,1,3,2025,sambalpur
2025-03-01,tamil nadu,tiruvallur,600055,71,454,tamilnadu,tamilnadu,525,1,3,2025,tiruvallur
2025-03-01,jharkhand,bokaro,827010,59,2267,jharkhand,jharkhand,2326,1,3,2025,bokaro
2025-03-01,karnataka,dakshina kannada,575020,48,220,karnataka,karnataka,268,1,3,2025,dakshina kannada
2025-03-01,west bengal,purba medinipur,721429,29,364,westbengal,westbengal,393,1,3,2025,purba medinipur
2025-03-01,west bengal,north 24 parganas,743222,16,398,westbengal,westbengal,414,1,3,2025,north parganas
2025-03-01,nagaland,peren,797110,29,229,nagaland,nagaland,258,1,3,2025,peren
2025-03-01,himachal pradesh,kangra,176056,16,169,himachalpradesh,himachalpradesh,185,1,3,2025,kangra
2025-03-01,odisha,kendrapara,754208,22,227,odisha,odisha,249,1,3,2025,kendrapara
2025-03-01,maharashtra,palghar,401501,48,883,maharashtra,maharashtra,931,1,3,2025,palghar
2025-03-01,karnataka,belagavi,591233,64,130,karnataka,karnataka,194,1,3,2025,belagavi
2025-03-01,tamil nadu,erode,638316,11,124,tamilnadu,tamilnadu,135,1,3,2025,erode
2025-03-01,kerala,malappuram,676541,31,242,kerala,kerala,273,1,3,2025,malappuram
2025-03-01,jammu and kashmir,rajouri,185203,13,54,jammuandkashmir,jammuandkashmir,67,1,3,2025,rajouri
2025-03-01,bihar,madhubani,847215,17,239,bihar,bihar,256,1,3,2025,madhubani
2025-03-01,andhra pradesh,chittoor,517152,12,85,andhrapradesh,andhrapradesh,97,1,3,2025,chittoor
2025-03-01,karnataka,dakshina kannada,574224,25,115,karnataka,karnataka,140,1,3,2025,dakshina kannada
2025-03-01,goa,north goa,403501,14,52,goa,goa,66,1,3,2025,north goa
2025-03-01,gujarat,chhotaudepur,391170,84,227,gujarat,gujarat,311,1,3,2025,chhotaudepur
2025-03-01,uttar pradesh,amethi,229305,47,584,uttarpradesh,uttarpradesh,631,1,3,2025,amethi
2025-03-01,uttar pradesh,balrampur,271609,60,857,uttarpradesh,uttarpradesh,917,1,3,2025,balrampur
2025-03-01,west bengal,hooghly,712301,11,248,westbengal,westbengal,259,1,3,2025,hooghly
2025-03-01,gujarat,surat,394221,201,1950,gujarat,gujarat,2151,1,3,2025,surat
2025-03-01,karnataka,mysore,570008,11,201,karnataka,karnataka,212,1,3,2025,mysuru
2025-03-01,delhi,south delhi,110024,18,426,delhi,delhi,444,1,3,2025,south delhi
2025-03-01,telangana,khammam,507203,25,351,telangana,telangana,376,1,3,2025,khammam
2025-03-01,odisha,kendujhar,758028,78,388,odisha,odisha,466,1,3,2025,kendujhar
2025-03-01,punjab,ludhiana,141017,10,133,punjab,punjab,143,1,3,2025,ludhiana
2025-03-01,odisha,ganjam,761014,36,307,odisha,odisha,343,1,3,2025,ganjam
2025-03-01,odisha,sambalpur,768221,42,231,odisha,odisha,273,1,3,2025,sambalpur
2025-03-01,andhra pradesh,srikakulam,532322,66,295,andhrapradesh,andhrapradesh,361,1,3,2025,srikakulam
2025-03-01,tamil nadu,coimbatore,642002,33,379,tamilnadu,tamilnadu,412,1,3,2025,coimbatore
2025-03-01,uttar pradesh,rae bareli,229210,14,165,uttarpradesh,uttarpradesh,179,1,3,2025,rae bareli
2025-03-01,telangana,karimnagar,505188,18,122,telangana,telangana,140,1,3,2025,karimnagar
2025-03-01,maharashtra,amravati,444704,32,381,maharashtra,maharashtra,413,1,3,2025,amravati
2025-03-01,andhra pradesh,krishna,520011,16,219,andhrapradesh,andhrapradesh,235,1,3,2025,krishna
2025-03-01,odisha,bhadrak,756123,43,199,odisha,odisha,242,1,3,2025,bhadrak
2025-03-01,maharashtra,parbhani,431521,19,332,maharashtra,maharashtra,351,1,3,2025,parbhani
2025-03-01,gujarat,valsad,396030,38,87,gujarat,gujarat,125,1,3,2025,valsad
2025-03-01,karnataka,belgaum,591242,54,52,karnataka,karnataka,106,1,3,2025,belagavi
2025-03-01,gujarat,ahmedabad,382330,380,2552,gujarat,gujarat,2932,1,3,2025,ahmedabad
2025-03-01,uttar pradesh,azamgarh,276208,86,600,uttarpradesh,uttarpradesh,686,1,3,2025,azamgarh
2025-03-01,madhya pradesh,chhatarpur,471202,22,71,madhyapradesh,madhyapradesh,93,1,3,2025,chhatarpur
2025-03-01,uttar pradesh,amroha,244235,117,1594,uttarpradesh,uttarpradesh,1711,1,3,2025,amroha
2025-03-01,maharashtra,jalna,431203,181,1631,maharashtra,maharashtra,1812,1,3,2025,jalna
2025-03-01,andhra pradesh,parvathipuram manyam,535526,17,103,andhrapradesh,andhrapradesh,120,1,3,2025,parvathipuram manyam
2025-03-01,himachal pradesh,sirmaur,173022,86,284,himachalpradesh,himachalpradesh,370,1,3,2025,sirmaur
2025-03-01,andhra pradesh,west godavari,534460,27,515,andhrapradesh,andhrapradesh,542,1,3,2025,west godavari
2025-03-01,telangana,k.v. rangareddy,501144,18,140,telangana,telangana,158,1,3,2025,kv rangareddy
2025-03-01,karnataka,vijayapura,586125,267,108,karnataka,karnataka,375,1,3,2025,vijayapura
2025-03-01,tripura,unakoti,799279,15,90,tripura,tripura,105,1,3,2025,unakoti
2025-03-01,tamil nadu,virudhunagar,626129,15,344,tamilnadu,tamilnadu,359,1,3,2025,virudhunagar
2025-03-01,gujarat,vadodara,391165,124,420,gujarat,gujarat,544,1,3,2025,vadodara
2025-03-01,haryana,sonipat,131023,35,327,haryana,haryana,362,1,3,2025,sonipat
2025-03-01,uttar pradesh,sultanpur,228121,56,801,uttarpradesh,uttarpradesh,857,1,3,2025,sultanpur
2025-03-01,west bengal,nadia,741257,29,525,westbengal,westbengal,554,1,3,2025,nadia
2025-03-01,andhra pradesh,chittoor,517421,25,275,andhrapradesh,andhrapradesh,300,1,3,2025,chittoor
2025-03-01,tamil nadu,krishnagiri,635116,32,358,tamilnadu,tamilnadu,390,1,3,2025,krishnagiri
2025-03-01,telangana,warangal,506163,28,51,telangana,telangana,79,1,3,2025,warangal
2025-03-01,karnataka,udupi,574106,18,140,karnataka,karnataka,158,1,3,2025,udupi
2025-03-01,jammu and kashmir,baramula,193403,12,65,jammuandkashmir,jammuandkashmir,77,1,3,2025,baramula
2025-03-01,karnataka,kalaburagi,585314,11,64,karnataka,karnataka,75,1,3,2025,kalaburagi
2025-03-01,andhra pradesh,nandyal,518196,15,84,andhrapradesh,andhrapradesh,99,1,3,2025,nandyal
2025-03-01,kerala,ernakulam,683594,11,149,kerala,kerala,160,1,3,2025,ernakulam
2025-03-01,uttar pradesh,ambedkar nagar,224155,64,566,uttarpradesh,uttarpradesh,630,1,3,2025,ambedkar nagar
2025-03-01,delhi,south west delhi,110045,402,4205,delhi,delhi,4607,1,3,2025,south west delhi
2025-03-01,west bengal,murshidabad,742202,230,3147,westbengal,westbengal,3377,1,3,2025,murshidabad
2025-03-01,bihar,araria,854333,187,2510,bihar,bihar,2697,1,3,2025,araria
2025-03-01,odisha,ganjam,761111,66,660,odisha,odisha,726,1,3,2025,ganjam
2025-03-01,meghalaya,east jaintia hills,793200,82,714,meghalaya,meghalaya,796,1,3,2025,east jaintia hills
2025-03-01,odisha,kendrapara,754210,27,237,odisha,odisha,264,1,3,2025,kendrapara
2025-03-01,gujarat,chhotaudepur,391150,38,287,gujarat,gujarat,325,1,3,2025,chhotaudepur
2025-03-01,karnataka,mandya,571422,36,348,karnataka,karnataka,384,1,3,2025,mandya
2025-03-01,karnataka,bijapur,586212,27,84,karnataka,karnataka,111,1,3,2025,bijapur
2025-03-01,uttar pradesh,gonda,271601,48,701,uttarpradesh,uttarpradesh,749,1,3,2025,gonda
2025-03-01,kerala,ernakulam,683501,11,180,kerala,kerala,191,1,3,2025,ernakulam
2025-03-01,kerala,kannur,670701,10,102,kerala,kerala,112,1,3,2025,kannur
2025-03-01,uttar pradesh,amethi,229304,78,744,uttarpradesh,uttarpradesh,822,1,3,2025,amethi
2025-03-01,uttar pradesh,mainpuri,205119,36,519,uttarpradesh,uttarpradesh,555,1,3,2025,mainpuri
2025-03-01,telangana,medchal-malkajgiri,500067,37,285,telangana,telangana,322,1,3,2025,medchal malkajgiri
2025-03-01,karnataka,belagavi,591317,187,195,karnataka,karnataka,382,1,3,2025,belagavi
2025-03-01,west bengal,north 24 parganas,700156,23,396,westbengal,westbengal,419,1,3,2025,north parganas
2025-03-01,telangana,medchal-malkajgiri,500056,99,485,telangana,telangana,584,1,3,2025,medchal malkajgiri
2025-03-01,odisha,jajpur,755005,39,271,odisha,odisha,310,1,3,2025,jajpur
2025-03-01,tamil nadu,cuddalore,608303,20,271,tamilnadu,tamilnadu,291,1,3,2025,cuddalore
2025-03-01,uttar pradesh,moradabad,202414,19,232,uttarpradesh,uttarpradesh,251,1,3,2025,moradabad
2025-03-01,tamil nadu,namakkal,637409,21,209,tamilnadu,tamilnadu,230,1,3,2025,namakkal
2025-03-01,karnataka,davangere,577231,16,73,karnataka,karnataka,89,1,3,2025,davangere
2025-03-01,andhra pradesh,ananthapuramu,515767,26,77,andhrapradesh,andhrapradesh,103,1,3,2025,ananthapuramu
2025-03-01,jammu and kashmir,ganderbal,190006,19,108,jammuandkashmir,jammuandkashmir,127,1,3,2025,ganderbal
2025-03-01,andhra pradesh,west godavari,534467,17,166,andhrapradesh,andhrapradesh,183,1,3,2025,west godavari
2025-03-01,kerala,alappuzha,688006,11,176,kerala,kerala,187,1,3,2025,alappuzha
2025-03-01,gujarat,arvalli,383251,45,81,gujarat,gujarat,126,1,3,2025,arvalli
2025-03-01,telangana,sangareddy,502269,16,38,telangana,telangana,54,1,3,2025,sangareddy
2025-03-01,haryana,rohtak,124001,277,1617,haryana,haryana,1894,1,3,2025,rohtak
2025-03-01,andhra pradesh,chittoor,517582,25,404,andhrapradesh,andhrapradesh,429,1,3,2025,chittoor
2025-03-01,karnataka,mysuru,570008,57,400,karnataka,karnataka,457,1,3,2025,mysuru
2025-03-01,bihar,samastipur,848205,155,1137,bihar,bihar,1292,1,3,2025,samastipur
2025-03-01,telangana,medak,502336,69,181,telangana,telangana,250,1,3,2025,medak
2025-03-01,maharashtra,ahmadnagar,422601,13,311,maharashtra,maharashtra,324,1,3,2025,ahmadnagar
2025-03-01,bihar,araria,854332,32,609,bihar,bihar,641,1,3,2025,araria
2025-03-01,maharashtra,ratnagiri,415612,32,610,maharashtra,maharashtra,642,1,3,2025,ratnagiri
2025-03-01,tamil nadu,krishnagiri,635109,247,1754,tamilnadu,tamilnadu,2001,1,3,2025,krishnagiri
2025-03-01,gujarat,jamnagar,361220,85,144,gujarat,gujarat,229,1,3,2025,jamnagar
2025-03-01,karnataka,chamrajanagar,571440,42,365,karnataka,karnataka,407,1,3,2025,chamrajanagar
2025-03-01,bihar,purnia,854201,46,820,bihar,bihar,866,1,3,2025,purnia
2025-03-01,bihar,buxar,802127,21,181,bihar,bihar,202,1,3,2025,buxar
2025-03-01,uttar pradesh,ambedkar nagar,224152,63,594,uttarpradesh,uttarpradesh,657,1,3,2025,ambedkar nagar
2025-03-01,odisha,mayurbhanj,757041,28,320,odisha,odisha,348,1,3,2025,mayurbhanj
2025-03-01,maharashtra,mumbai suburban,400079,36,267,maharashtra,maharashtra,303,1,3,2025,mumbai suburban
2025-03-01,gujarat,vadodara,390013,45,168,gujarat,gujarat,213,1,3,2025,vadodara
